text,name,ratings,no_of_ratings,discount_price,actual_price,category_source
"Cello Sportigo Plastic Bottle Set, 1 Litre, Set of 2, Assorted stores Amazon Fashion","Cello Sportigo Plastic Bottle Set, 1 Litre, Set of 2, Assorted",4.3,"8,067",₹254,₹352,Amazon Fashion.csv
crocs unisex-adult Bayaband Clog Clog stores Amazon Fashion,crocs unisex-adult Bayaband Clog Clog,4.1,"1,346",,,Amazon Fashion.csv
"ADAMO Digital Dial Stylish and Fashionable Wrist Smart Watch LED Band for Kids, Colorful Cartoon Character Super Hero Wate... stores Amazon Fashion","ADAMO Digital Dial Stylish and Fashionable Wrist Smart Watch LED Band for Kids, Colorful Cartoon Character Super Hero Wate...",3.0,193,₹259,₹995,Amazon Fashion.csv
Genie Unicorn School Bags for Girls - 3 compartments | Stylish and Trendy College Bag for Girls | Easy to Carry Backpacks ... stores Amazon Fashion,Genie Unicorn School Bags for Girls - 3 compartments | Stylish and Trendy College Bag for Girls | Easy to Carry Backpacks ...,4.4,199,₹999,"₹2,339",Amazon Fashion.csv
Thrillz Silver Chain For Boys Silver Plated Chains For Boys Men Jewellery Alloy Silver Chain Mens Jewellery Necklace Chain... stores Amazon Fashion,Thrillz Silver Chain For Boys Silver Plated Chains For Boys Men Jewellery Alloy Silver Chain Mens Jewellery Necklace Chain...,3.6,75,₹169,₹999,Amazon Fashion.csv
Kids Board books- My First Library : Set of 10 Board Books (Box Set) stores Amazon Fashion,Kids Board books- My First Library : Set of 10 Board Books (Box Set),4.4,641,₹467,₹900,Amazon Fashion.csv
RADIANT Door Bottom Sealing Strip Guard for Home (Size-36 inch) (Pack of 1) (Brown) stores Amazon Fashion,RADIANT Door Bottom Sealing Strip Guard for Home (Size-36 inch) (Pack of 1) (Brown),3.8,"19,525",₹89,₹499,Amazon Fashion.csv
"NAVYSPORT Originals Unisex Casual Cushion Cotton Ankle Socks, Assorted Combo, Pack of 4, Free Size stores Amazon Fashion","NAVYSPORT Originals Unisex Casual Cushion Cotton Ankle Socks, Assorted Combo, Pack of 4, Free Size",4.1,"5,747",₹339,₹799,Amazon Fashion.csv
"Ortho Joy Arch Support Gel Insoles for Walking, Sports |All Day Comfort Full Length Orthotics for Flat Feet, High Arch, Fo... stores Amazon Fashion","Ortho Joy Arch Support Gel Insoles for Walking, Sports |All Day Comfort Full Length Orthotics for Flat Feet, High Arch, Fo...",3.9,279,₹399,₹590,Amazon Fashion.csv
"Kraasa Casual Lace Up Sneaker, Men Casual Shoes stores Amazon Fashion","Kraasa Casual Lace Up Sneaker, Men Casual Shoes",3.4,"5,967",₹449,₹999,Amazon Fashion.csv
American Tourister 78 cms Polypropylene Luggage- Suitcase(FO1 (0) 01 403_Highline Blue) stores Amazon Fashion,American Tourister 78 cms Polypropylene Luggage- Suitcase(FO1 (0) 01 403_Highline Blue),4.2,"1,847","₹3,999","₹8,800",Amazon Fashion.csv
Minimalist 2% Alpha Arbutin Serum for Pigmentation & Dark Spots Removal | Anti-pigmentation Face Serum For Men & Women wit... stores Amazon Fashion,Minimalist 2% Alpha Arbutin Serum for Pigmentation & Dark Spots Removal | Anti-pigmentation Face Serum For Men & Women wit...,4.1,"8,169",₹520,₹549,Amazon Fashion.csv
Fashion Frill Exclusive Pendant For Girls Infinite/Infinity Gold Plated Chain Necklace For Women Girls Women's Jewellery G... stores Amazon Fashion,Fashion Frill Exclusive Pendant For Girls Infinite/Infinity Gold Plated Chain Necklace For Women Girls Women's Jewellery G...,3.1,13,₹169,₹999,Amazon Fashion.csv
GTA 5 (PC GAME) - (No Online Multiplayer/No ACTIVATION* Code) -EMAIL DELIVERY ‎IN 2 HRS (PC)… stores Amazon Fashion,GTA 5 (PC GAME) - (No Online Multiplayer/No ACTIVATION* Code) -EMAIL DELIVERY ‎IN 2 HRS (PC)…,,,₹599,"₹1,999",Amazon Fashion.csv
Sparx Mens Sd0323g Sneakers stores Amazon Fashion,Sparx Mens Sd0323g Sneakers,4.1,"45,024",₹599,₹899,Amazon Fashion.csv
"Fruits - My First Early Learning Wall Chart: For Preschool, Kindergarten, Nursery and Homeschooling (19 inches X 29 inches) stores Amazon Fashion","Fruits - My First Early Learning Wall Chart: For Preschool, Kindergarten, Nursery and Homeschooling (19 inches X 29 inches)",4.3,77,,₹105,Amazon Fashion.csv
"rts Dual USB Universal Travel Adapter, International All in One Worldwide Travel Adapter and Wall Charger with USB Ports w... stores Amazon Fashion","rts Dual USB Universal Travel Adapter, International All in One Worldwide Travel Adapter and Wall Charger with USB Ports w...",4.2,"7,845",₹588,"₹4,999",Amazon Fashion.csv
Titan Karishma Analog Black Dial Men's Watch-NL1639SM02/NN1639SM02 stores Amazon Fashion,Titan Karishma Analog Black Dial Men's Watch-NL1639SM02/NN1639SM02,4.3,"1,411",,"₹1,995",Amazon Fashion.csv
LEOTUDE Women's Cottonblend Half Sleeve Oversized T-Shirts (Color: Orange) stores Amazon Fashion,LEOTUDE Women's Cottonblend Half Sleeve Oversized T-Shirts (Color: Orange),3.6,162,₹309,"₹1,099",Amazon Fashion.csv
Estele Necklace Set for Women stores Amazon Fashion,Estele Necklace Set for Women,3.5,"1,720",₹538,"₹3,999",Amazon Fashion.csv
"Milton Super 1000 Stainless Steel Water Bottle, 1000 ml, Silver | Leak Proof | Office Bottle | Gym Bottle | Home | Kitchen... stores Amazon Fashion","Milton Super 1000 Stainless Steel Water Bottle, 1000 ml, Silver | Leak Proof | Office Bottle | Gym Bottle | Home | Kitchen...",3.8,"10,841",₹318,₹441,Amazon Fashion.csv
crocs Men's Bayaband Flip Flop stores Amazon Fashion,crocs Men's Bayaband Flip Flop,4.3,"14,489","₹1,647","₹2,995",Amazon Fashion.csv
"Artistix Talon Anti Theft Design Laptop Backpack, With USB Charging Port (46 Cm, 25L,Black) stores Amazon Fashion","Artistix Talon Anti Theft Design Laptop Backpack, With USB Charging Port (46 Cm, 25L,Black)",4.3,"2,949",₹999,"₹1,999",Amazon Fashion.csv
"SKINN BY TITAN Skinn Raw Fragrance For Men, 20ml stores Amazon Fashion","SKINN BY TITAN Skinn Raw Fragrance For Men, 20ml",4.2,"3,502",₹548,₹645,Amazon Fashion.csv
Healthy Food (Vitamin Chart) Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm) stores Amazon Fashion,Healthy Food (Vitamin Chart) Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm),4.3,626,₹145,₹185,Amazon Fashion.csv
"Fossil Gen 5E Smartwatch with AMOLED Screen, Wear OS by Google, Built-in Speaker for Phone Calls, Google Assistant, SpO2, ... stores Amazon Fashion","Fossil Gen 5E Smartwatch with AMOLED Screen, Wear OS by Google, Built-in Speaker for Phone Calls, Google Assistant, SpO2, ...",3.9,"12,330","₹14,795","₹18,495",Amazon Fashion.csv
Amazon Brand - Presto! Disinfectant Toilet Cleaner - 1 L (Pack of 4) stores Amazon Fashion,Amazon Brand - Presto! Disinfectant Toilet Cleaner - 1 L (Pack of 4),4.2,"21,880",₹339,₹740,Amazon Fashion.csv
"MARVIK Trail Loop Band Compatible with Apple Watch Band Ultra 42mm 44mm 45mm 49mm, Nylon Weave Sport Loop Adjustable Strap... stores Amazon Fashion","MARVIK Trail Loop Band Compatible with Apple Watch Band Ultra 42mm 44mm 45mm 49mm, Nylon Weave Sport Loop Adjustable Strap...",4.2,44,₹584,₹999,Amazon Fashion.csv
ASIAN Women's Trendy-21 Casual Sneaker Colour Changing Shoes with Extra Cushion Lightwight Lace-Up Shoes for Women's & Girl's stores Amazon Fashion,ASIAN Women's Trendy-21 Casual Sneaker Colour Changing Shoes with Extra Cushion Lightwight Lace-Up Shoes for Women's & Girl's,3.6,393,₹699,₹999,Amazon Fashion.csv
NEW GTA 5 (PC GAME) - (No Online Multiplayer/No ACTIVATION* Code) -EMAIL DELIVERY ‎IN 2 HRS stores Amazon Fashion,NEW GTA 5 (PC GAME) - (No Online Multiplayer/No ACTIVATION* Code) -EMAIL DELIVERY ‎IN 2 HRS,,,₹599,"₹1,999",Amazon Fashion.csv
